submission_id,parent,relationship,linked,
1,General well-being,includes,"Happiness, Self-acceptance, Purpose, Vitality, Self-awareness, Optimism, Significance, Connection, Competence, Development, Calmness, Involvement, Self-worth, Congruence",
1,Happiness,includes,"Pleasedness, Gladness, Cheerfulness",
1,Vitality,includes,"Energetic, Liveliness, Vigor, Feeling active",
1,Calmness,includes,"Peacefulness, Relaxation, Ease",
1,Optimism,includes,"Hope, Positive expectation, Plans, Expecting the best",
1,Involvement,includes,"Absorbtion, Engagement, In tune with action",
1,Self-awareness,includes,"In touch with self, Attentiveness, Awareness, Conscious awareness, Sensation",
1,Self-worth,includes,"Liking self, Positive self evaluation, Self-respect, Positive self-regard, Self-worth",
1,,similar,"Positive self-regard, Self-regard",
1,Competence,includes,"Effectiveness, Performance, Confidence, Mastery, Accomplishment, Success, Difficulty, Challenge",
1,Development,includes,"Expanding horizons, Improvement, Advancement, Enhancement, Skill",
1,Purpose,includes,"Mission, Clear wants, Clarity, Vision, Aspiration",
1,Significance,includes,"Worthwhileness, Importance, Meaningfulness, Rewarding activity, Relevance",
1,Congruence,includes,"Self-congruence, Decision-making, Authenticity, Consistency, True to self",
1,Connection,includes,"Friendship, Social interaction, Closeness, Connection, Appreciation, Liking others, Care",
2,Thriving,includes,"Engagement, Subjective well-being, Optimism, Relationships, Meaning, Mastery, Autonomy",
2,Relationships,includes,"Support, Positive relations, Respect, Relationship, Trust, Community, Relatedness, Loneliness*, Belonging",
2,Engagement,includes,Flow,
2,Mastery,includes,"Self-esteem, Environmental mastery, Accomplishment, Learning, Competence, Skills, Self-efficacy, Self-worth",
2,Autonomy,includes,Control,
2,Meaning,includes,"Meaning, Purpose",
2,Optimism,includes,Optimism,
2,Subjective well-being,includes,"Negative feelings*, Positive feelings, Life satisfaction",
3,Flourishing,includes,"Purpose, Meaning, Supportive relationships, Engagement, Contribution, Competence, Positive self-regard, Optimism, Being respected",
3,Subjective feelings,includes,"Positive feelings, Negative feelings*",
3,Positive feelings,includes,"Feeling good, Feeling positive, Pleasantness, Joy, Happiness, Contentment",
3,Negative feelings*,includes,"Feeling negative*, Feeling bad*, Unpleasantness*, Sadness*, Anger*, Fear*",
4,Life satisfaction,includes,"Achievement, Regret*, Ideal life, Good life conditions, Life satisfaction",
5,Flourishing,includes,"Happiness, Material stability, Social relationships, Health, Character, Financial stability, Meaning, Life satisfaction",
6,Well-being,includes,"Positive appraisal, Positive characteristics, Positive functioning",
6,Positive characteristics,includes,"Self-esteem, Vitality, Optimism, Emotional stability, Resilience",
6,Positive functioning,includes,"Positive relationships, Meaning, Competence, Engagement",
6,Positive appraisal,includes,"Positive emotion, Life satisfaction",
7,Complete health,includes,"Self-acceptance, Autonomy, Environmental mastery, Positive emotion, Relationships, Hope, Personal growth, Meaning, Life satisfaction",
7,Relationships,includes,Social acceptance,
7,Hope,includes,Self-actualisation,
7,Meaning,includes,"Social contribution, Purpose",
7,Relationships,includes,"Positive relationships, Social integration, Social coherence",
8,Living standards,includes,"Income, Health, Friends, Skills, Subjective well-being, Voice, Cultural capability, Knowledge, Consumption, Work, Care, Family, Housing, Play, Volunteering, Wealth, Engagement, Belonging, Leisure, Environmental amenity",
9,Mental health,includes,"Growth, Connection, Work-life harmony, Protection, Mattering",
9,Protection,includes,"Security, Safety",
9,Growth,includes,"Accomplishment, Learning",
9,Connection,includes,"Community, Social support, Belonging",
9,Work-life harmony,includes,"Flexibility, Autonomy",
9,Mattering,includes,"Meaning, Dignity",
10,Well-being,includes,"Positive functioning, Vitality, Emotional well-being, Social well-being, Resilience, Life satisfaction",
10,Emotional well-being,includes,"Negative feelings*, Positive feelings",
10,Resilience,includes,"Self-esteem, Optimism",
10,Positive functioning,includes,"Engagement, Purpose, Competence, Meaning, Autonomy",
10,Social well-being,includes,"Trust, Supportive relationships, Belonging",
11,Well-being,includes,"Accomplishment, Positive emotion, Relationships, Meaning, Engagement",
12,Psychological well-being,includes,"Positive relations, Self-acceptance, Purpose, Environmental mastery, Personal growth, Autonomy",
12,Autonomy,includes,"Transparency, Fear*, Decision-making, Being influenced, Self-consciousness*, Self-confidence, Openness, Authenticity, Self-conguence",
12,Environmental mastery,includes,"Control, Overwhelm*, Belonging, Responsibility, Stress*, Self-organization, Satisfaction with lifestyle",
12,Personal growth,includes,"Learning, Interest, Challenge, Novelty, Growth, Improvement, Development, Routine, Change, Persistence",
12,Positive relations,includes,"Caring, Affection, Close relationships, Loneliness*, Closeness, Conversation, Family, Friends, Generosity, Spending time with others, Trust, Reliance",
12,Purpose,includes,"Present moment, Clarity of purpose, Purpose, Direction, Daily activities, Unimportance*, Meaninglessness*, Clear goals, Making plans, Achievement, Goal striving, Aimlessness*, Accomplishment",
12,Self-acceptance,includes,"Life satisfaction, Positive self evaluation, Confidence, Upward social comparison*, Disappointment with self*, Positive self-regard, Downward social comparison",
13,Psychological well-being,includes,"Autonomy, Competence, Relatedness",
14,Psychological well-being,includes,"Negative emotion*, Positive emotion",
15,Mental well-being,includes,"Satisfying interpersonal relationships, Positive functioning, Positive affect",
15,Positive affect,includes,"Relaxation, Positive self-regard, Cheerfulness, Optimism",
15,Positive functioning,includes,"Self-acceptance, Clear thinking, Usefulness, Personal development, Interest, Energy, Competence, Autonomy, Problem solving",
15,Satisfying interpersonal relationships,includes,"Love, Closeness, Interest in others",
16,Eudiamonic wellbeing,includes,"Purpose, Investment of effort, Self-discovery, Enjoyment of activities, Perceived development of best potentials, Involvement in activities, Meaning",
17,Sense of coherence,includes,"Manageability, Comprehensability, Meaningfulness",
18,Flourishing,includes,"Belonging, Vitality, Competence, Meaning, Hope, Autonomy, Family, Engagement",
18,Vitality,includes,"Physiological health, Energy, Physical strength, Fitness, Physical flexibility",
18,Engagement,includes,"Pursuing excellence, Interest, Enjoyment, Involvement",
18,Autonomy,includes,"Liberty, Flexibility, Self-expression, Balance, Self-conguence, Freedom",
18,Hope,includes,"Security, Safety, Optimism, Peace, Resources",
18,Competence,includes,"Self-esteem, Environmental mastery, Comprehensability, Accomplishment, Manageability, Clear Thinking",
18,Meaning,includes,"Purpose, Contribution, Significance, Mattering, Meaningfulness",
18,Belonging,includes,"Social belonging, Positive relationships, Connection, Relatedness, Supportive relationships, Dignity",
18,Family,includes,"Romance, Sex, Family bonds, Parenting, Intimacy, Partnering",
18,General aspects,includes,"Negative feelings*, Happiness, Self-acceptance, Quality of life, Growth, Self-discovery, Learning, Emotional stability, Positive emotion, Development, Calmness, Resilience, Self-worth, Life satisfaction",
18,,similar,"Well-being, General well-being",
18,,similar,"Support, Satisfying interpersonal relationships, Relationships, Supportive relationships, Social support",
18,,similar,"Relationships, Social belonging, Social integration, Sense of community, Belonging",
18,,similar,"Positive relations, Positive relationships, Connection, Friends, Personal relationships, Relationships, Prosocial coping, Social integration, Popularity",
18,,similar,"Negative feelings*, Negative emotion*",
18,,similar,"Positive feelings, Positive emotion",
18,,similar,"Personal growth, Perceived development of best potentials, Development, Personal development",
18,,similar,"Involvement in activities, Enjoyment of activities, Fun, Engagement",
18,,similar,"Investment of effort, Purpose",
18,,similar,"Emotion-focused coping, Not coping*, Problem-focused approach coping, Problem-focused coping, Resilient coping, Fatalistic coping*, Prosocial coping, Religious coping, Avoidance coping*, Emotional coping, Adaptive coping, Active coping, Approach coping, Optimistic coping, Supportive coping, Emotion-focused approach coping, General coping, Self-reliant coping, Confrontative coping, Emotive coping, Detatched coping*, Coping, Coping self",
18,,similar,"Self-worth, Own worth",
18,,similar,"Pathways, Anticipation, Hope, Positive expectancy, Agency, Future life satisfaction",
18,,similar,"Health, Health status",
18,,similar,"Life purpose, Purpose",
18,,similar,"Influence, Meaning, Social contribution, Meaning making",
18,,similar,"Resources, Personal resources",
18,,similar,"positive affect, Positive feelings, Positive experiences, Positive emotions",
18,,similar,"Negative experiences*, Negative emotions*, Negative feelings*, Negative affect*",
18,,similar,"Sense of mastery, Mastery",
18,,similar,"General self-efficacy, Self-efficacy",
18,,similar,"Resilience, Bounce back",
18,,similar,"Positive reappraisal, Positive reinterpretation",
18,,similar,"Love, Family",
18,,similar,"Financial stability, Financial situation, Money, Economic wellbeing",
18,,similar,"Financial security, Security, Financial situation, Wealth",
18,,similar,"Lethargy*, Tireness*, Exhaustion*",
18,,similar,"Not worth living*, Worthlessness*",
18,,similar,"Dissappointment with self*, Negative self-evaluation*",
18,,similar,"Unattractiveness*, Attractiveness",
18,,similar,"Cheerlessness*, Anhedonia*",
18,,similar,"Closeness to others, Closeness",
18,,similar,"Percieved progress in life, Progress, Accomplishment",
18,,similar,"Self-blame*, Negative self-evaluation*",
18,,similar,"Sexual function, Sex life, ",
18,Work,includes,"Job security, Performance, Work hours, Work wellbeing, Occupation",
18,Spiritual life,includes,"Church, Religious membership, Spiritual events, Spirituality, Prayer, Faith/belief, Belief in supreme power",
18,Sexual relationship,includes,"Sex, Sex life, Romance, Sexual function, Significant others, Partnering",
18,,similar,"Learning from failure, Learning",
18,,similar,"Unsure of ability*, Self-efficacy",
18,,similar,"Give up easily*, Grit, Perseverance",
18,,similar,"Physical affection, Touch, Physical touch",
19,Indiscriminant,includes,"Eudiamonic wellbeing, Own worth, Active coping, Control orientation, Positive expectancy, Actualisation, Satisfaction, Confrontative coping, Reactive style, Personal competence, Social health satisfaction, Personal growth, Mental health",
19,Competence,includes,"Bounce back, Perseverance, Trust, Anticipation, Composure, Resilience, Agency, Ego-resiliency, Self-confidence during stress, Flexibility, Control, Accomplishment, Initiative, Self-efficacy, Hope, Manegeability, Pathways, Insight, Compensating experiences, Self-reliant coping, Self-control, Coping self",
